model,regime,category,utility_mean,satisfaction_mean,css_primary_mean,pct_decisive,pct_clarifying,pct_hedging,pct_refusal,pct_disputed,n_observations
qwen3_235b,clarification_first,1,4.761,4.739,0.0231,1.7,98.3,0.0,0.0,0.0,60
qwen3_235b,clarification_first,2,4.372,4.233,0.0228,0.0,93.3,6.7,0.0,0.0,60
qwen3_235b,clarification_first,3,4.706,4.656,0.0256,0.0,100.0,0.0,0.0,0.0,60
qwen3_235b,clarification_first,4,4.394,4.372,0.0211,13.3,78.3,6.7,0.0,1.7,60
qwen3_235b,clarification_first,5,4.406,4.339,0.0244,0.0,100.0,0.0,0.0,0.0,60
qwen3_235b,clarification_first,6,4.489,4.411,0.0413,0.0,95.0,1.7,3.3,0.0,60
qwen3_235b,clarification_first,7,4.606,4.572,0.0321,0.0,100.0,0.0,0.0,0.0,60
qwen3_local,vanilla,1,4.378,4.467,0.0304,25.0,1.7,73.3,0.0,0.0,60
qwen3_local,vanilla,2,4.122,4.217,0.0278,33.3,0.0,66.7,0.0,0.0,60
qwen3_local,vanilla,3,4.383,4.506,0.0231,8.3,1.7,90.0,0.0,0.0,60
qwen3_local,vanilla,4,4.383,4.539,0.0252,58.3,0.0,41.7,0.0,0.0,60
qwen3_local,vanilla,5,4.083,4.2,0.0236,75.0,0.0,23.3,1.7,0.0,60
qwen3_local,vanilla,6,3.872,3.861,0.0338,23.3,0.0,68.3,5.0,3.3,60
qwen3_local,vanilla,7,4.256,4.306,0.0565,10.0,21.7,68.3,0.0,0.0,60
qwen3_local,utility_first,1,3.361,3.383,0.0326,100.0,0.0,0.0,0.0,0.0,60
qwen3_local,utility_first,2,3.989,3.989,0.0356,100.0,0.0,0.0,0.0,0.0,60
qwen3_local,utility_first,3,3.161,3.183,0.0265,96.7,0.0,3.3,0.0,0.0,60
qwen3_local,utility_first,4,3.894,3.911,0.0214,93.3,0.0,6.7,0.0,0.0,60
qwen3_local,utility_first,5,3.506,3.489,0.0277,90.0,0.0,5.0,5.0,0.0,60
qwen3_local,utility_first,6,3.483,3.489,0.0338,63.3,0.0,25.0,6.7,5.0,60
qwen3_local,utility_first,7,3.183,3.194,0.0649,100.0,0.0,0.0,0.0,0.0,60
qwen3_local,neutrality_oriented,1,4.606,4.594,0.0275,0.0,56.7,43.3,0.0,0.0,60
qwen3_local,neutrality_oriented,2,4.25,4.194,0.0203,0.0,16.7,83.3,0.0,0.0,60
qwen3_local,neutrality_oriented,3,4.444,4.411,0.0238,0.0,48.3,51.7,0.0,0.0,60
qwen3_local,neutrality_oriented,4,4.294,4.322,0.0239,3.3,6.7,88.3,0.0,1.7,60
qwen3_local,neutrality_oriented,5,4.172,4.144,0.018,0.0,8.3,90.0,1.7,0.0,60
qwen3_local,neutrality_oriented,6,4.256,4.233,0.0349,0.0,35.0,65.0,0.0,0.0,60
qwen3_local,neutrality_oriented,7,4.583,4.517,0.0505,0.0,88.3,11.7,0.0,0.0,60
qwen3_local,clarification_first,1,4.689,4.661,0.0302,0.0,100.0,0.0,0.0,0.0,60
qwen3_local,clarification_first,2,4.406,4.239,0.0278,0.0,100.0,0.0,0.0,0.0,60
qwen3_local,clarification_first,3,4.833,4.789,0.0262,0.0,100.0,0.0,0.0,0.0,60
qwen3_local,clarification_first,4,4.472,4.406,0.0261,5.0,95.0,0.0,0.0,0.0,60
qwen3_local,clarification_first,5,4.339,4.25,0.0263,0.0,98.3,1.7,0.0,0.0,60
qwen3_local,clarification_first,6,4.583,4.5,0.0298,0.0,100.0,0.0,0.0,0.0,60
qwen3_local,clarification_first,7,4.639,4.578,0.0456,0.0,100.0,0.0,0.0,0.0,60
